file_name,actress,archetype,situ,max_f0,min_f0,f0_range,f0_dev,sentence_type,,,,
niagra_21,Monroe,femmefatale,casual_mys,294,191,103,25,d,,,,
niagra_22,Monroe,femmefatale,casual_mys,259,199,60,13,d,,,,
niagra_23,Monroe,femmefatale,casual_mys,269,193,76,16,d,,,,
niagra_24,Monroe,femmefatale,scheme,334,197,137,33,yn,,,,
niagra_25,Monroe,femmefatale,casual_mys,338,200,138,38,d,,,,
niagra_26,Monroe,femmefatale,casual_mys,241,191,50,13,d,,,,
niagra_27,Monroe,femmefatale,casual_mys,285,176,109,30,d,,,,
niagra_28,Monroe,femmefatale,casual_mys,276,202,74,20,d,,,,
niagra_29,Monroe,femmefatale,casual_mys,282,191,91,19,d,,,,
niagra_30,Monroe,femmefatale,casual_mys,272,230,42,12,d,,,,
vertigo_1,Novak,femmefatale,casual_mys,244,137,107,33,wh,,,,
vertigo_2,Novak,femmefatale,casual_mys,243,177,66,12,yn,,,,
vertigo_3,Novak,femmefatale,casual_mys,242,161,81,23,wh,,,,
vertigo_4,Novak,femmefatale,casual_mys,238,155,83,23,yn,,,,
vertigo_5,Novak,femmefatale,casual_mys,243,150,93,21,d,,,,
vertigo_6,Novak,femmefatale,casual_mys,211,152,59,12,d,,,,
vertigo_7,Novak,femmefatale,casual_mys,221,169,52,13,d,,,,
vertigo_8,Novak,femmefatale,casual_mys,168,158,10,5,yn,,,,
vertigo_9,Novak,femmefatale,casual_mys,222,156,66,15,d,,,,
vertigo_10,Novak,femmefatale,casual_mys,261,162,99,24,d,,,,
vertigo_11,Novak,femmefatale,casual_mys,258,150,108,28,d,,,,
vertigo_12,Novak,femmefatale,casual_mys,267,166,101,27,d,,,,
vertigo_13,Novak,femmefatale,casual_mys,221,142,79,23,yn,,,,
vertigo_14,Novak,femmefatale,casual_mys,249,184,65,44,d,,,,
vertigo_15,Novak,femmefatale,casual_mys,221,156,65,17,d,,,,
vertigo_16,Novak,femmefatale,casual_mys,230,167,63,15,yn,,,,
vertigo_17,Novak,femmefatale,casual_mys,237,98,139,37,d,,,,
vertigo_18,Novak,femmefatale,casual_mys,251,178,73,18,wh,,,,
vertigo_19,Novak,femmefatale,casual_mys,208,146,62,18,d,,,,
vertigo_20,Novak,femmefatale,casual_mys,180,130,50,10,d,,,,
vertigo_22,Novak,femmefatale,casual_mys,173,144,29,9,d,,,,
vertigo_23,Novak,femmefatale,casual_mys,229,166,63,18,yn,,,,
